combo_id,seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,31,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.39994417599808485,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,32,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.4065133125903741,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,33,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.40675334117415635,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,34,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.39728832339072884,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,35,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.4079357101415287,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,36,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.404535190827093,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,37,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.39652299907280336,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,38,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.39821515580433753,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,39,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.39831017494253973,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,40,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.4059359825955788,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,41,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.4075184907837489,
"P=30|sigma=0.1|alpha=0.1|h=(3,)",101,42,30,0.1,0.1,"(3,)",15,100,0.1,True,5,-1000.0,-1000.0,0.0,-0.4026615008622867,
