label,combo_id,seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,29,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-134.46666666666667,-124.06666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,30,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-133.26666666666668,-125.8,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,31,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-136.2,-121.0,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,32,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-138.46666666666667,-115.4,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,33,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-130.26666666666668,-124.6,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,34,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-126.73333333333333,-118.66666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,35,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-129.66666666666666,-122.86666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,36,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-116.8,-119.8,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,37,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-130.46666666666667,-120.13333333333334,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,38,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-127.2,-125.66666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,39,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-126.53333333333333,-121.0,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,40,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-125.33333333333333,-112.66666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,41,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-115.53333333333333,-118.26666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,42,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-127.06666666666666,-115.66666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,43,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-115.86666666666666,-117.46666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,44,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-130.86666666666667,-116.73333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,45,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-123.0,-119.33333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,46,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-127.2,-114.4,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,47,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-117.0,-116.33333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,48,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-126.33333333333333,-115.2,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,49,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-117.4,-114.46666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,50,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-127.66666666666667,-118.13333333333334,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,51,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-115.0,-116.26666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,52,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-131.0,-114.73333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,53,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-124.66666666666667,-118.8,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,54,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-116.86666666666666,-107.8,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,55,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-123.73333333333333,-114.13333333333334,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,56,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-120.46666666666667,-114.06666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,57,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-121.06666666666666,-111.53333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,58,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-125.26666666666667,-109.33333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,59,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-119.06666666666666,-115.86666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,60,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-126.2,-112.13333333333334,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,61,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-119.6,-108.8,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,62,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-111.13333333333334,-115.66666666666667,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,63,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-108.66666666666667,-114.2,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,64,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-135.06666666666666,-114.4,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,65,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-119.26666666666667,-114.86666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,66,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-112.86666666666666,-113.86666666666666,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,67,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-114.8,-110.33333333333333,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,68,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-122.46666666666667,-116.6,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",11,69,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-106.2,-109.2,1.0,0.5,51.6
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,0,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.48045119754821286,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,1,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4733777221930559,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,2,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47837040309231144,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,3,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46069134615549523,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,4,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4682920832738461,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,5,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4777937808464764,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,6,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.45340073791592594,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,7,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4509156245789784,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,8,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.44858723872158296,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,9,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.48657399770231946,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,10,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47494360874620717,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,11,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4786736976534458,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,12,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4626819375080505,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,13,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.48371612873240377,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,14,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46172976433547913,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,15,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47254179255790907,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,16,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4713060221328986,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,17,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4526116010347678,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,18,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4595227437786284,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,19,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47498041071962815,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,20,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4499370800611923,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,21,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.48688647433977955,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,22,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47065205432070095,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,23,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.45073502566629886,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,24,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4779361219640411,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,25,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4767148286561955,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,26,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4785437613739007,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,27,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4630446538738756,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,28,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47061400229584505,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,29,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46511802845465117,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,30,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.46656087836299637,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,31,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47459642674426666,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,32,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.47019408599972295,199.2
baseline,"P=30|sigma=0.1|alpha=0.1|h=(4,)",22,33,30,0.1,0.1,"(4,)",15,70,0.1,True,5,-1000.0,-1000.0,0.0,-0.4581465378713737,199.2
