combo_id,seed,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,J_final,first_iter_ge_-150,wallclock_s_total
"P=30|sigma=0.2|alpha=0.1|h=(3, 2)",101,30,0.2,0.1,"(3, 2)",15,100,-119.26666666666667,24,158.7
"P=30|sigma=0.2|alpha=0.1|h=(3, 2)",202,30,0.2,0.1,"(3, 2)",15,100,-1000.0,,758.2
"P=30|sigma=0.2|alpha=0.1|h=(3, 2)",303,30,0.2,0.1,"(3, 2)",15,100,-125.6,33,171.1
"P=30|sigma=0.2|alpha=0.15|h=(3,)",101,30,0.2,0.15,"(3,)",15,100,-121.86666666666666,22,114.0
"P=30|sigma=0.2|alpha=0.15|h=(3,)",202,30,0.2,0.15,"(3,)",15,100,-111.46666666666667,13,106.2
"P=30|sigma=0.2|alpha=0.15|h=(3,)",303,30,0.2,0.15,"(3,)",15,100,-119.86666666666666,17,122.3
"P=30|sigma=0.2|alpha=0.15|h=(4,)",101,30,0.2,0.15,"(4,)",15,100,-121.93333333333334,17,127.7
"P=30|sigma=0.2|alpha=0.15|h=(4,)",202,30,0.2,0.15,"(4,)",15,100,-118.53333333333333,31,149.3
"P=30|sigma=0.2|alpha=0.15|h=(4,)",303,30,0.2,0.15,"(4,)",15,100,-120.26666666666667,24,130.3
"P=30|sigma=0.2|alpha=0.15|h=(3, 2)",101,30,0.2,0.15,"(3, 2)",15,100,-132.73333333333332,27,158.7
"P=30|sigma=0.2|alpha=0.15|h=(3, 2)",202,30,0.2,0.15,"(3, 2)",15,100,-123.06666666666666,33,181.3
"P=30|sigma=0.2|alpha=0.15|h=(3, 2)",303,30,0.2,0.15,"(3, 2)",15,100,-117.8,35,179.0
"P=45|sigma=0.1|alpha=0.1|h=(3,)",101,45,0.1,0.1,"(3,)",15,100,-195.8,,143.1
"P=45|sigma=0.1|alpha=0.1|h=(3,)",202,45,0.1,0.1,"(3,)",15,100,-121.0,43,171.6
"P=45|sigma=0.1|alpha=0.1|h=(3,)",303,45,0.1,0.1,"(3,)",15,100,-118.26666666666667,12,73.2
"P=45|sigma=0.1|alpha=0.1|h=(4,)",101,45,0.1,0.1,"(4,)",15,100,-1000.0,,413.0
"P=45|sigma=0.1|alpha=0.1|h=(4,)",202,45,0.1,0.1,"(4,)",15,100,-121.46666666666667,15,80.2
"P=45|sigma=0.1|alpha=0.1|h=(4,)",303,45,0.1,0.1,"(4,)",15,100,-113.66666666666667,44,91.1
"P=45|sigma=0.1|alpha=0.1|h=(3, 2)",101,45,0.1,0.1,"(3, 2)",15,100,-198.0,,192.5
"P=45|sigma=0.1|alpha=0.1|h=(3, 2)",202,45,0.1,0.1,"(3, 2)",15,100,-115.66666666666667,39,180.0
"P=45|sigma=0.1|alpha=0.1|h=(3, 2)",303,45,0.1,0.1,"(3, 2)",15,100,-114.6,23,125.9
"P=45|sigma=0.1|alpha=0.15|h=(3,)",101,45,0.1,0.15,"(3,)",15,100,-1000.0,,1848.0
"P=45|sigma=0.1|alpha=0.15|h=(3,)",202,45,0.1,0.15,"(3,)",15,100,-1000.0,,437.7
"P=45|sigma=0.1|alpha=0.15|h=(3,)",303,45,0.1,0.15,"(3,)",15,100,-118.33333333333333,40,202.9
"P=45|sigma=0.1|alpha=0.15|h=(4,)",101,45,0.1,0.15,"(4,)",15,100,-117.86666666666666,48,103.7
"P=45|sigma=0.1|alpha=0.15|h=(4,)",202,45,0.1,0.15,"(4,)",15,100,-955.6,,422.5
"P=45|sigma=0.1|alpha=0.15|h=(4,)",303,45,0.1,0.15,"(4,)",15,100,-191.8,,103.4
"P=45|sigma=0.1|alpha=0.15|h=(3, 2)",101,45,0.1,0.15,"(3, 2)",15,100,-1000.0,,486.7
"P=45|sigma=0.1|alpha=0.15|h=(3, 2)",202,45,0.1,0.15,"(3, 2)",15,100,-1000.0,,474.7
"P=45|sigma=0.1|alpha=0.15|h=(3, 2)",303,45,0.1,0.15,"(3, 2)",15,100,-110.33333333333333,17,111.6
"P=45|sigma=0.15|alpha=0.1|h=(3,)",101,45,0.15,0.1,"(3,)",15,100,-120.66666666666667,86,137.0
"P=45|sigma=0.15|alpha=0.1|h=(3,)",202,45,0.15,0.1,"(3,)",15,100,-116.73333333333333,22,124.9
"P=45|sigma=0.15|alpha=0.1|h=(3,)",303,45,0.15,0.1,"(3,)",15,100,-114.4,21,116.9
"P=45|sigma=0.15|alpha=0.1|h=(4,)",101,45,0.15,0.1,"(4,)",15,100,-1000.0,,420.0
"P=45|sigma=0.15|alpha=0.1|h=(4,)",202,45,0.15,0.1,"(4,)",15,100,-114.4,19,123.1
"P=45|sigma=0.15|alpha=0.1|h=(4,)",303,45,0.15,0.1,"(4,)",15,100,-120.06666666666666,18,137.5
"P=45|sigma=0.15|alpha=0.1|h=(3, 2)",101,45,0.15,0.1,"(3, 2)",15,100,-113.53333333333333,16,145.2
"P=45|sigma=0.15|alpha=0.1|h=(3, 2)",202,45,0.15,0.1,"(3, 2)",15,100,-119.73333333333333,21,166.1
"P=45|sigma=0.15|alpha=0.1|h=(3, 2)",303,45,0.15,0.1,"(3, 2)",15,100,-115.86666666666666,33,183.7
"P=45|sigma=0.15|alpha=0.15|h=(3,)",101,45,0.15,0.15,"(3,)",15,100,-191.0,,149.2
"P=45|sigma=0.15|alpha=0.15|h=(3,)",202,45,0.15,0.15,"(3,)",15,100,-114.2,21,113.7
"P=45|sigma=0.15|alpha=0.15|h=(3,)",303,45,0.15,0.15,"(3,)",15,100,-120.0,62,284.5
"P=45|sigma=0.15|alpha=0.15|h=(4,)",101,45,0.15,0.15,"(4,)",15,100,-109.66666666666667,11,106.8
"P=45|sigma=0.15|alpha=0.15|h=(4,)",202,45,0.15,0.15,"(4,)",15,100,-112.0,8,99.2
"P=45|sigma=0.15|alpha=0.15|h=(4,)",303,45,0.15,0.15,"(4,)",15,100,-123.53333333333333,92,185.9
"P=45|sigma=0.15|alpha=0.15|h=(3, 2)",101,45,0.15,0.15,"(3, 2)",15,100,-119.0,19,158.3
"P=45|sigma=0.15|alpha=0.15|h=(3, 2)",202,45,0.15,0.15,"(3, 2)",15,100,-191.73333333333332,,222.0
"P=45|sigma=0.15|alpha=0.15|h=(3, 2)",303,45,0.15,0.15,"(3, 2)",15,100,-1000.0,,484.8
"P=45|sigma=0.2|alpha=0.1|h=(3,)",101,45,0.2,0.1,"(3,)",15,100,-120.26666666666667,20,164.3
"P=45|sigma=0.2|alpha=0.1|h=(3,)",202,45,0.2,0.1,"(3,)",15,100,-122.26666666666667,26,169.2
"P=45|sigma=0.2|alpha=0.1|h=(3,)",303,45,0.2,0.1,"(3,)",15,100,-123.73333333333333,15,139.2
"P=45|sigma=0.2|alpha=0.1|h=(4,)",101,45,0.2,0.1,"(4,)",15,100,-119.66666666666667,23,158.1
"P=45|sigma=0.2|alpha=0.1|h=(4,)",202,45,0.2,0.1,"(4,)",15,100,-114.6,67,227.9
"P=45|sigma=0.2|alpha=0.1|h=(4,)",303,45,0.2,0.1,"(4,)",15,100,-120.46666666666667,28,170.5
"P=45|sigma=0.2|alpha=0.1|h=(3, 2)",101,45,0.2,0.1,"(3, 2)",15,100,-112.6,30,194.7
"P=45|sigma=0.2|alpha=0.1|h=(3, 2)",202,45,0.2,0.1,"(3, 2)",15,100,-209.86666666666667,,247.9
"P=45|sigma=0.2|alpha=0.1|h=(3, 2)",303,45,0.2,0.1,"(3, 2)",15,100,-130.6,28,252.0
"P=45|sigma=0.2|alpha=0.15|h=(3,)",101,45,0.2,0.15,"(3,)",15,100,-118.13333333333334,15,144.4
"P=45|sigma=0.2|alpha=0.15|h=(3,)",202,45,0.2,0.15,"(3,)",15,100,-115.33333333333333,16,136.6
"P=45|sigma=0.2|alpha=0.15|h=(3,)",303,45,0.2,0.15,"(3,)",15,100,-125.13333333333334,33,191.0
"P=45|sigma=0.2|alpha=0.15|h=(4,)",101,45,0.2,0.15,"(4,)",15,100,-116.2,12,136.9
"P=45|sigma=0.2|alpha=0.15|h=(4,)",202,45,0.2,0.15,"(4,)",15,100,-120.4,9,133.5
"P=45|sigma=0.2|alpha=0.15|h=(4,)",303,45,0.2,0.15,"(4,)",15,100,-126.53333333333333,14,150.6
"P=45|sigma=0.2|alpha=0.15|h=(3, 2)",101,45,0.2,0.15,"(3, 2)",15,100,-122.26666666666667,21,197.3
"P=45|sigma=0.2|alpha=0.15|h=(3, 2)",202,45,0.2,0.15,"(3, 2)",15,100,-192.26666666666668,,240.4
"P=45|sigma=0.2|alpha=0.15|h=(3, 2)",303,45,0.2,0.15,"(3, 2)",15,100,-116.6,19,177.1
"P=60|sigma=0.1|alpha=0.1|h=(3,)",101,60,0.1,0.1,"(3,)",15,100,-116.06666666666666,22,128.7
"P=60|sigma=0.1|alpha=0.1|h=(3,)",202,60,0.1,0.1,"(3,)",15,100,-1000.0,,503.9
