seed,iter,population,sigma,alpha,hidden_sizes,episodes_per_eval,iterations,temperature,topk,K,J_curr,J_best_true,SR_curr,MX_curr,wallclock_s
11,45,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.53333333333333,-122.86666666666666,1.0,0.5,125.1
11,46,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-126.8,-117.73333333333333,1.0,0.5,125.1
11,47,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-127.53333333333333,-116.86666666666666,1.0,0.5,125.1
11,48,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.33333333333334,-112.06666666666666,1.0,0.5,125.1
11,49,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.26666666666668,-116.33333333333333,1.0,0.5,125.1
11,50,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-115.0,-109.4,1.0,0.5,125.1
11,51,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.13333333333334,-112.4,1.0,0.5,125.1
11,52,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-116.33333333333333,-116.93333333333334,1.0,0.5,125.1
11,53,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-124.66666666666667,-115.26666666666667,1.0,0.5,125.1
11,54,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-118.66666666666667,-118.13333333333334,1.0,0.5,125.1
11,55,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-129.93333333333334,-116.26666666666667,1.0,0.5,125.1
11,56,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.0,-120.6,1.0,0.5,125.1
11,57,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-128.33333333333334,-118.4,1.0,0.5,125.1
11,58,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-127.0,-115.4,1.0,0.5,125.1
11,59,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-123.0,-116.13333333333334,1.0,0.5,125.1
11,60,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.8,-115.53333333333333,1.0,0.5,125.1
11,61,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.8,-109.8,1.0,0.5,125.1
11,62,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-114.33333333333333,-112.66666666666667,1.0,0.5,125.1
11,63,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-122.53333333333333,-113.33333333333333,1.0,0.5,125.1
11,64,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.73333333333333,-113.26666666666667,1.0,0.5,125.1
11,65,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-116.4,-113.26666666666667,1.0,0.5,125.1
11,66,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-119.33333333333333,-113.0,1.0,0.5,125.1
11,67,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-121.53333333333333,-116.93333333333334,1.0,0.5,125.1
11,68,45,0.15,0.15,"(4,)",15,70,0.1,True,5,-117.06666666666666,-112.2,1.0,0.5,125.1
